0.000000,0.000000,0.000000
1.194173,8.840252,67.940223
1.189436,8.859430,67.263820
1.184700,8.878608,66.587418
1.179963,8.897786,65.911015
1.175227,8.916964,65.234613
1.170490,8.936142,64.558210
1.165754,8.955320,63.881808
1.161017,8.974498,63.205405
1.156281,8.993676,62.529003
1.151544,9.012854,61.852600
1.146808,9.032032,61.176198
1.142071,9.051210,60.499796
1.137335,9.070388,59.823393
1.132599,9.089566,59.146991
1.127862,9.108744,58.470588
1.123126,9.127922,57.794186
1.118389,9.147100,57.117783
1.113653,9.166277,56.441381
1.108916,9.185455,55.764978
1.104180,9.204633,55.088576
1.099443,9.223811,54.412173
1.094707,9.242989,53.735771
1.089970,9.262167,53.059368
1.085234,9.281345,52.382966
1.080497,9.300523,51.706564
1.075761,9.319701,51.030161
1.071024,9.338879,50.353759
1.066288,9.358057,49.677356
1.061551,9.377235,49.000954
1.056815,9.396413,48.324551
1.052078,9.415591,47.648149
1.047342,9.434769,46.971746
1.042605,9.453947,46.295344
1.037869,9.473125,45.618941
1.033132,9.492303,44.942539
1.028396,9.511481,44.266137
1.023659,9.530659,43.589734
1.018923,9.549837,42.913332
1.014186,9.569015,42.236929
1.009450,9.588193,41.560527
1.004713,9.607371,40.884124
0.999977,9.626549,40.207722
0.995240,9.645727,39.531319
0.990504,9.664905,38.854917
0.985767,9.684083,38.178514
0.981031,9.703261,37.502112
0.976294,9.722439,36.825709
0.971558,9.741617,36.149307
0.966821,9.760795,35.472905
0.962085,9.779973,34.796502
0.957348,9.799151,34.120100
0.952612,9.818329,33.443697
0.947875,9.837507,32.767295
0.943139,9.856685,32.090892
0.938402,9.875863,31.414490
0.933666,9.895041,30.738087
0.928929,9.914219,30.061685
0.924193,9.933397,29.385282
0.919456,9.952575,28.708880
0.914720,9.971753,28.032477
0.909983,9.990931,27.356075
0.905247,10.010109,26.679673
0.900510,10.029287,26.003270
0.895774,10.048465,25.326868
0.891038,10.067643,24.650465
0.886301,10.086821,23.974063
0.881565,10.105999,23.297660
0.876828,10.125177,22.621258
0.872092,10.144354,21.944855
0.867355,10.163532,21.268453
0.862619,10.182710,20.592050
0.857882,10.201888,19.915648
0.853146,10.221066,19.239245
0.848409,10.240244,18.562843
0.843673,10.259422,17.886441
0.838936,10.278600,17.210038
0.834200,10.297778,16.533636
0.829463,10.316956,15.857233
0.824727,10.336134,15.180831
0.819990,10.355312,14.504428
0.815254,10.374490,13.828026
0.810517,10.393668,13.151623
0.805781,10.412846,12.475221
0.801044,10.432024,11.798818
0.796308,10.451202,11.122416
0.791571,10.470380,10.446014
0.786835,10.489558,9.769611
0.782098,10.508736,9.093209
0.777362,10.527914,8.416806
0.772625,10.547092,7.740404
0.767889,10.566270,7.064001
0.763152,10.585448,6.387599
0.758416,10.604626,5.711196
0.753679,10.623804,5.034794
0.748943,10.642982,4.358391
0.744206,10.662160,3.681989
0.739470,10.681338,3.005586
0.734733,10.700516,2.329184
0.729997,10.719694,1.652782
0.725260,10.738872,0.976379
0.720524,10.758050,0.299977
0.715787,10.777228,-0.376426
0.711051,10.796406,-1.052828
0.706314,10.815584,-1.729231
0.701578,10.834762,-2.405633
0.696841,10.853940,-3.082036
0.692105,10.873118,-3.758438
0.687368,10.892296,-4.434841
0.682632,10.911474,-5.111243
0.677895,10.930652,-5.787646
0.673159,10.949830,-6.464048
0.668422,10.969008,-7.140450
0.663686,10.988186,-7.816853
0.658949,11.007364,-8.493255
0.654213,11.026542,-9.169658
0.649477,11.045720,-9.846060
0.644740,11.064898,-10.522463
0.640004,11.084076,-11.198865
0.635267,11.103253,-11.875268
0.630531,11.122431,-12.551670
0.625794,11.141609,-13.228073
0.621058,11.160787,-13.904475
0.616321,11.179965,-14.580878
0.611585,11.199143,-15.257280
0.606848,11.218321,-15.933682
0.602112,11.237499,-16.610085
0.597375,11.256677,-17.286487
0.592639,11.275855,-17.962890
0.587902,11.295033,-18.639292
0.583166,11.314211,-19.315695
0.578429,11.333389,-19.992097
0.573693,11.352567,-20.668500
0.568956,11.371745,-21.344902
0.564220,11.390923,-22.021305
0.559483,11.410101,-22.697707
0.554747,11.429279,-23.374109
0.550010,11.448457,-24.050512
0.545274,11.467635,-24.726914
0.540537,11.486813,-25.403317
0.535801,11.505991,-26.079719
0.531064,11.525169,-26.756122
0.526328,11.544347,-27.432524
0.521591,11.563525,-28.108927
0.516855,11.582703,-28.785329
0.512118,11.601881,-29.461732
0.507382,11.621059,-30.138134
0.502645,11.640237,-30.814537
0.497909,11.659415,-31.490939
0.493172,11.678593,-32.167341
0.488436,11.697771,-32.843744
0.483699,11.716949,-33.520146
0.478963,11.736127,-34.196549
0.474226,11.755305,-34.872951
0.469490,11.774483,-35.549354
0.464753,11.793661,-36.225756
0.460017,11.812839,-36.902159
0.455280,11.832017,-37.578561
0.450544,11.851195,-38.254964
0.445807,11.870373,-38.931366
0.441071,11.889551,-39.607769
0.436334,11.908729,-40.284171
0.431598,11.927907,-40.960573
0.426861,11.947085,-41.636976
0.422125,11.966263,-42.313378
0.417389,11.985441,-42.989781
0.412652,12.004619,-43.666183
0.407916,12.023797,-44.342586
0.403179,12.042974,-45.018988
0.398443,12.062152,-45.695391
0.393706,12.081330,-46.371793
0.388970,12.100508,-47.048196
0.384233,12.119686,-47.724598
0.379497,12.138864,-48.401001
0.374760,12.158042,-49.077403
0.370024,12.177220,-49.753805
0.365287,12.196398,-50.430208
0.360551,12.215576,-51.106610
0.355814,12.234754,-51.783013
0.351078,12.253932,-52.459415
0.346341,12.273110,-53.135818
0.341605,12.292288,-53.812220
0.336868,12.311466,-54.488623
0.332132,12.330644,-55.165025
0.327395,12.349822,-55.841428
0.322659,12.369000,-56.517830
0.317922,12.388178,-57.194233
0.313186,12.407356,-57.870635
0.308449,12.426534,-58.547037
0.303713,12.445712,-59.223440
0.298976,12.464890,-59.899842
0.294240,12.484068,-60.576245
0.289503,12.503246,-61.252647
0.284767,12.522424,-61.929050
0.280030,12.541602,-62.605452
0.275294,12.560780,-63.281855
0.270557,12.579958,-63.958257
0.265821,12.599136,-64.634660
0.261084,12.618314,-65.311062
0.256348,12.637492,-65.987464
0.251611,12.656670,-66.663867
